# Dataset: annual water temperature at German monitoring sites (EEA Waterbase v2020_1).
# Source: data/raw/waterbase/ Aggregated + Spatial files, determinand 'Water temperature'.
# Site filter: monitoring sites within the study radius of a study reactor.
# Window filter: observation years 2006-2018 (inclusive).
# Added columns: nearest study reactor, its group and the distance in km.
# River position added by river_position.py: each site is matched to its
# study river and classified upstream/downstream of the nearest reactor, with
# an approximate along-flow distance and distance band. Flow direction is a
# per-river heuristic (see the module); the up/down sign is robust, the distance
# is approximate. Filter on position=downstream for the plume-exposed sample;
# downstream_of_shock=1 marks sites below a 2011/staggered shutdown.
site_id,site_name,water_body_name,latitude,longitude,year,mean_value,min_value,max_value,sample_count,unit,nearest_reactor,nearest_group,distance_km,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,downstream_of_shock
DESM_NW752824,VORMDGDERW̦RMKE,EMMER,51.93522,9.22693,2009,11.7077,0.1,20.0,13,Cel,Grohnde,control,16.965,,off_river,,,,,0
DESM_NW752824,VORMDGDERW̦RMKE,EMMER,51.93522,9.22693,2010,10.4385,1.2,23.3,13,Cel,Grohnde,control,16.965,,off_river,,,,,0
DESM_NW752824,VORMDGDERW̦RMKE,EMMER,51.93522,9.22693,2011,13.75,0.9,21.9,20,Cel,Grohnde,control,16.965,,off_river,,,,,0
DESM_NW752824,VORMDGDERW̦RMKE,EMMER,51.93522,9.22693,2012,11.1,2.0,20.8,13,Cel,Grohnde,control,16.965,,off_river,,,,,0
DESM_DENI_92862534,LAAR,VECHTE NEUENHAUS-LAAR,52.6116,6.73863,2008,12.1833,3.4,21.8,24,Cel,Emsland,control,41.03,,off_river,,,,,0
DESM_DENI_92862534,LAAR,VECHTE NEUENHAUS-LAAR,52.6116,6.73863,2009,9.52174,7.6,19.7,23,Cel,Emsland,control,41.03,,off_river,,,,,0
DESM_DENI_92862534,LAAR,VECHTE NEUENHAUS-LAAR,52.6116,6.73863,2010,10.6261,0.9,24.0,23,Cel,Emsland,control,41.03,,off_river,,,,,0
DESM_DENI_92862534,LAAR,VECHTE NEUENHAUS-LAAR,52.6116,6.73863,2011,12.3083,4.2,20.7,24,Cel,Emsland,control,41.03,,off_river,,,,,0
DESM_DENI_92862534,LAAR,VECHTE NEUENHAUS-LAAR,52.6116,6.73863,2012,11.8417,0.3,22.4,24,Cel,Emsland,control,41.03,,off_river,,,,,0
DESM_DENI_93912880,NENNDORF,HARLE / ABENSER LEIDE,53.59162,7.78604,2008,11.0917,4.6,22.3,12,Cel,Unterweser,treatment,49.148,,off_river,,,,,0
DESM_DENI_93912880,NENNDORF,HARLE / ABENSER LEIDE,53.59162,7.78604,2009,11.9833,1.3,21.4,24,Cel,Unterweser,treatment,49.148,,off_river,,,,,0
DESM_DENI_93912880,NENNDORF,HARLE / ABENSER LEIDE,53.59162,7.78604,2010,11.7273,1.8,22.9,11,Cel,Unterweser,treatment,49.148,,off_river,,,,,0
DESM_DENI_93912880,NENNDORF,HARLE / ABENSER LEIDE,53.59162,7.78604,2011,11.3417,3.9,19.6,12,Cel,Unterweser,treatment,49.148,,off_river,,,,,0
DESM_DENI_93912880,NENNDORF,HARLE / ABENSER LEIDE,53.59162,7.78604,2012,11.8667,2.7,20.6,12,Cel,Unterweser,treatment,49.148,,off_river,,,,,0
