# Dataset: annual dissolved oxygen at German monitoring sites (EEA Waterbase v2020_1).
# Source: data/raw/waterbase/ Aggregated + Spatial files, determinand 'Dissolved oxygen'.
# Site filter: monitoring sites within the study radius of a study reactor.
# Window filter: observation years 2006-2018 (inclusive).
# Added columns: nearest study reactor, its group and the distance in km.
# River position added by river_position.py: each site is matched to its
# study river and classified upstream/downstream of the nearest reactor, with
# an approximate along-flow distance and distance band. Flow direction is a
# per-river heuristic (see the module); the up/down sign is robust, the distance
# is approximate. Filter on position=downstream for the plume-exposed sample;
# downstream_of_shock=1 marks sites below a 2011/staggered shutdown.
site_id,site_name,water_body_name,latitude,longitude,year,mean_value,min_value,max_value,sample_count,unit,nearest_reactor,nearest_group,distance_km,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,downstream_of_shock
DESM_NW752824,VORMDGDERWÃ¶RMKE,EMMER,51.93522,9.22693,2010,10.8615,5.0,13.9,13,mg/L,Grohnde,control,16.965,,off_river,,,,,0
DESM_DENI_92862534,LAAR,VECHTE NEUENHAUS-LAAR,52.6116,6.73863,2011,9.375,4.9,13.0,24,mg/L,Emsland,control,41.03,,off_river,,,,,0
DESM_DENI_36912024,BOKELOH,"HASE, GROßE HASE",52.69524,7.34741,2011,9.73696,7.4,13.0,23,mg/L,Emsland,control,23.881,,off_river,,,,,0
DESM_DENI_12046,WESERHEMELINGEN,MITTELWESER ZWISCHEN ALLER UND BREMEN,53.05279,8.87458,2011,10.1052,5.1135,15.0,365,mg/L,Unterweser,treatment,49.463,Weser,downstream,Grohnde,control,118.3,>50,0
DESM_DENI_48862863,SARSTEDT,INNERSTE,52.24773,9.8286,2011,10.0417,6.7,13.0,12,mg/L,Grohnde,control,36.862,,off_river,,,,,0
DESM_HE_130,MAINBISCHOFSHEIMMESSSTATIONRECHTESUNDLINKESUFER,MAIN - HESSEN,49.99936,8.34549,2011,10.5788,6.7,16.4,52,mg/L,Biblis A,treatment,32.622,Main,downstream,Grafenrheinfeld,staggered_treatment,129.1,>50,1
DESM_HE_115,SCHWARZBACHTREBURASTHEIMMESSSTATION,SCHWARZBACH/ASTHEIM,49.9561,8.35734,2011,8.5,6.2,10.4,52,mg/L,Biblis A,treatment,27.739,,off_river,,,,,0
DESM_HE_378,DIEMELBADKARLSHAFENHELMARSHAUSEN,UNTERE DIEMEL,51.63266,9.4726,2011,10.0708,7.4,12.2,24,mg/L,Grohnde,control,44.989,,off_river,,,,,0
DERW_DEHH_VIP_SEEMANNSH,VIP_SEEMANNSH FT,EL_02,53.5418,9.8819,2011,9.525,3.5,13.6,24,mg/L,Brokdorf,control,49.275,,off_river,,,,,0
DESM_HE_380,NIDDAFRANKFURTNIEDMESSSTATION,NIDDA/FRANKFURT,50.10022,8.56059,2011,10.4846,8.4,13.6,52,mg/L,Biblis A,treatment,44.696,,off_river,,,,,0
DESM_HE_107,WESCHNITZBIBLISWATTENHEIMNACHMÜNDUNGHALBMAASGRABEN,UNTERE WESCHNITZ,49.69875,8.41001,2011,9.09167,6.5,12.0,24,mg/L,Biblis A,treatment,1.231,,off_river,,,,,0
DESM_DENI_49572011,FARGE,WESER / TIDEBEREICH OBERH. BRAKE,53.20889,8.50524,2011,8.4,6.0,12.4,12,mg/L,Unterweser,treatment,24.503,Weser,downstream,Grohnde,control,143.1,>50,0
DESM_DENI_59872220,OBERNDORF,OSTE (BREMERVÖRDE-OBERNDORF),53.75368,9.14766,2011,8.88333,6.1,11.9,12,mg/L,Brokdorf,control,16.936,,off_river,,,,,0
DESM_DENI_49692157,REITHÖRNE048,HUNTE TIDEBEREICH,53.16126,8.32211,2011,9.3625,5.8,12.4,24,mg/L,Unterweser,treatment,31.457,,off_river,,,,,0
DESM_DENI_48852542,POPPENBURG,"LEINE, DESPE-INNERSTE",52.13589,9.76159,2011,10.4318,8.2,12.9,22,mg/L,Grohnde,control,26.269,,off_river,,,,,0
DESM_DENI_93912880,NENNDORF,HARLE / ABENSER LEIDE,53.59162,7.78604,2011,8.8,5.0,13.9,12,mg/L,Unterweser,treatment,49.148,,off_river,,,,,0
DESM_DENI_59942126,OTTERNDORF,MEDEM,53.80612,8.89815,2011,7.41667,2.7,15.1,12,mg/L,Brokdorf,control,29.807,,off_river,,,,,0
DESM_DENI_59652013,DAUDIECK,LÜHE-AUE MITTELLAUF 2,53.4921,9.5555,2011,9.91667,7.8,12.0,12,mg/L,Brokdorf,control,42.239,,off_river,,,,,0
DESM_DENI_45752064,HESSOLDENDORF/FUHLEN,WESER,52.15799,9.24872,2011,11.2273,8.8,14.2,11,mg/L,Grohnde,control,17.661,Weser,downstream,Grohnde,control,16.6,10-25,0
DESM_DENI_49282075,HOLZKAMP003,DELME UNTERLAUF OBERHALB DELMENHORST,53.00301,8.57217,2011,10.1167,8.1,11.1,12,mg/L,Unterweser,treatment,47.747,,off_river,,,,,0
DESM_DENI_49482303,TIETJENSHÜTTE,HAMME III,53.20312,8.82025,2011,8.45,4.4,11.1,12,mg/L,Unterweser,treatment,33.894,,off_river,,,,,0
