# Water quality, June-September (summer) mean per site and year, from the Waterbase
# v2025_1 disaggregated (individual-sample) data. German sites on a study river within
# 50 km of a study reactor; determinand in {water_temperature (Cel), dissolved_oxygen (mg/L)}.
# n_samples is the number of underlying measurements. Built by waterbase_disaggregated.py.
site_id,site_name,water_body_name,latitude,longitude,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,determinand,year,mean_value,n_samples
DEGM_DEBY_4110763600001,KEIN NAME,NAME,48.38401,11.72061,Isar,upstream,,,,,dissolved_oxygen,2013,5.2,1
DEGM_DEBY_4110763600001,KEIN NAME,NAME,48.38401,11.72061,Isar,upstream,,,,,dissolved_oxygen,2014,5.4,1
DEGM_DEBY_4110763600001,KEIN NAME,NAME,48.38401,11.72061,Isar,upstream,,,,,dissolved_oxygen,2015,6.1,1
DEGM_DEBY_4110763600001,KEIN NAME,NAME,48.38401,11.72061,Isar,upstream,,,,,dissolved_oxygen,2016,4.9,1
DEGM_DEBY_4110763600001,KEIN NAME,NAME,48.38401,11.72061,Isar,upstream,,,,,dissolved_oxygen,2017,4.9,1
DEGM_DEBY_4110763600001,KEIN NAME,NAME,48.38401,11.72061,Isar,upstream,,,,,dissolved_oxygen,2019,4.9,1
DEGM_DEBY_4110763600001,KEIN NAME,NAME,48.38401,11.72061,Isar,upstream,,,,,dissolved_oxygen,2020,5.0,1
DEGM_DEBY_4110763600001,KEIN NAME,NAME,48.38401,11.72061,Isar,upstream,,,,,dissolved_oxygen,2021,6.2,1
DEGM_DEBY_4110763600001,KEIN NAME,NAME,48.38401,11.72061,Isar,upstream,,,,,dissolved_oxygen,2023,3.7,3
DEGM_DEBY_4110763600001,KEIN NAME,NAME,48.38401,11.72061,Isar,upstream,,,,,dissolved_oxygen,2024,3.3,1
DEGM_DEBY_4120602400057,KEIN NAME,NAME,49.9833,9.72298,Main,downstream,Grafenrheinfeld,staggered_treatment,32.2,25-50,dissolved_oxygen,2008,9.6,1
DEGM_DEBY_4120602400057,KEIN NAME,NAME,49.9833,9.72298,Main,downstream,Grafenrheinfeld,staggered_treatment,32.2,25-50,dissolved_oxygen,2009,9.4,1
DEGM_DEBY_4120602400057,KEIN NAME,NAME,49.9833,9.72298,Main,downstream,Grafenrheinfeld,staggered_treatment,32.2,25-50,dissolved_oxygen,2012,9.5,1
DEGM_DEBY_4120602400057,KEIN NAME,NAME,49.9833,9.72298,Main,downstream,Grafenrheinfeld,staggered_treatment,32.2,25-50,dissolved_oxygen,2013,9.5,1
DEGM_DEBY_4120602400057,KEIN NAME,NAME,49.9833,9.72298,Main,downstream,Grafenrheinfeld,staggered_treatment,32.2,25-50,dissolved_oxygen,2015,9.6,1
DEGM_DEBY_4120602400057,KEIN NAME,NAME,49.9833,9.72298,Main,downstream,Grafenrheinfeld,staggered_treatment,32.2,25-50,dissolved_oxygen,2016,9.3,1
DEGM_DEBY_4120602400057,KEIN NAME,NAME,49.9833,9.72298,Main,downstream,Grafenrheinfeld,staggered_treatment,32.2,25-50,dissolved_oxygen,2018,9.3,1
DEGM_DEBY_4120602400057,KEIN NAME,NAME,49.9833,9.72298,Main,downstream,Grafenrheinfeld,staggered_treatment,32.2,25-50,dissolved_oxygen,2019,9.1,1
DEGM_DEBY_4120602400057,KEIN NAME,NAME,49.9833,9.72298,Main,downstream,Grafenrheinfeld,staggered_treatment,32.2,25-50,dissolved_oxygen,2023,9.5,1
DEGM_DEBY_4120612500010,KEIN NAME,NAME,49.80059,9.93666,Main,downstream,Grafenrheinfeld,staggered_treatment,13.7,10-25,dissolved_oxygen,2012,6.8,1
DEGM_DEBY_4120612500010,KEIN NAME,NAME,49.80059,9.93666,Main,downstream,Grafenrheinfeld,staggered_treatment,13.7,10-25,dissolved_oxygen,2013,5.1,1
DEGM_DEBY_4120612500010,KEIN NAME,NAME,49.80059,9.93666,Main,downstream,Grafenrheinfeld,staggered_treatment,13.7,10-25,dissolved_oxygen,2014,7.1,1
DEGM_DEBY_4120612500010,KEIN NAME,NAME,49.80059,9.93666,Main,downstream,Grafenrheinfeld,staggered_treatment,13.7,10-25,dissolved_oxygen,2015,4.4,2
DEGM_DEBY_4120612500010,KEIN NAME,NAME,49.80059,9.93666,Main,downstream,Grafenrheinfeld,staggered_treatment,13.7,10-25,dissolved_oxygen,2016,4.1,1
DEGM_DEBY_4120612500010,KEIN NAME,NAME,49.80059,9.93666,Main,downstream,Grafenrheinfeld,staggered_treatment,13.7,10-25,dissolved_oxygen,2017,4.0,1
DEGM_DEBY_4120612500010,KEIN NAME,NAME,49.80059,9.93666,Main,downstream,Grafenrheinfeld,staggered_treatment,13.7,10-25,dissolved_oxygen,2019,4.5,1
DEGM_DEBY_4120612500010,KEIN NAME,NAME,49.80059,9.93666,Main,downstream,Grafenrheinfeld,staggered_treatment,13.7,10-25,dissolved_oxygen,2020,4.5,1
