# Water quality, monthly mean per site, from the Waterbase v2025_1 disaggregated data.
# German sites on a study river within 50 km of a study reactor.
# Built by waterbase_disaggregated.py.
site_id,site_name,water_body_name,latitude,longitude,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,determinand,year,month,mean_value,n_samples
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2021,3,5.9,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2021,10,4.6,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2022,5,6.3,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2022,9,6.2,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2023,3,6.2,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2023,9,5.7,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2024,3,6.2,1
DEGM_DEBW_1251-305-8,BR NORD BEREGNUNGSVERBAND DOSSENHEIM,NAME,49.45773,8.65689,Neckar,downstream,Neckarwestheim 1,partial,58.9,>50,dissolved_oxygen,2024,9,5.9,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2009,3,0.2,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2009,9,0.5,1
