case,label,role,river,block,outcome,unit,upstream,downstream,spec,note,cut,n,n_pre,n_post,first_day,last_day,up_pre,up_post,down_pre,down_post,gap_pre,gap_post,up_change,down_change,did_raw,did,se,t,p,ci_lo,ci_hi,r2
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,temperature,°C,Besigheim,Lauffen,donut_1y,±1 Jahr um den Schnitt entfernt,2011-08-06,1579,142,1437,2010-03-17,2016-08-05,15.914084507042254,12.98427279053584,16.142957746478874,13.060960334029227,0.22887323943661972,0.076687543493389,-2.929811716506414,-3.081997412449647,-0.15218569594323073,-0.16643117533476215,0.12140561773258107,-1.3708688151594304,0.17041585420961214,-0.4043818136114584,0.07151946294193409,0.09828468140968949
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,temperature,°C,Besigheim,Lauffen,placebo_cut_2008,"Nur Vorperiode, Scheinschnitt 06.08.2008",2008-08-06,347,0,347,2010-03-17,2011-03-13,,12.4478386167147,,13.020172910662824,,0.5723342939481267,,,,,,,,,,
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,temperature,°C,Besigheim,Lauffen,summer,"nur Juni–September (Niedrigwasser, größte thermische Last)",2011-08-06,780,188,592,2010-06-01,2016-08-05,19.127659574468087,20.01655405405405,19.484574468085107,20.11570945945946,0.3569148936170212,0.09915540540540539,0.8888944795859643,0.6311349913743527,-0.2577594882116158,-0.3340923647676821,0.1321234682349378,-2.5286375632647604,0.011450620396099774,-0.5930496040206821,-0.07513512551468216,0.14350993124793476
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,temperature,°C,Besigheim,Lauffen,winter,nur Oktober–Mai,2011-08-06,1428,304,1124,2010-03-17,2016-05-31,10.647368421052633,9.327669039145906,11.136842105263158,9.436032028469752,0.4894736842105263,0.1083629893238434,-1.3196993819067266,-1.700810076793406,-0.38111069488668287,-0.35974655297822666,0.19825650379551055,-1.8145510794908561,0.06959292624601572,-0.7483221601182559,0.028829054161802536,0.11216846982708772
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,oxygen,mg/l,Besigheim,Lauffen,baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,2141,488,1653,2010-03-11,2016-08-05,9.895696721311474,9.787537810042348,9.549180327868852,9.724803387779794,-0.34651639344262297,-0.06273442226255296,-0.10815891126912547,0.17562305991094185,0.28378197118007,0.272753409174728,0.14903008095335554,1.830190304064159,0.06722148714676573,-0.019340182106937553,0.5648470004563936,0.08028192522163224
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,oxygen,mg/l,Besigheim,Lauffen,no_month_fe,ohne Monats-FE = klassisches 2×2 auf den gepaarten Tagen,2011-08-06,2141,488,1653,2010-03-11,2016-08-05,9.895696721311474,9.787537810042348,9.549180327868852,9.724803387779794,-0.34651639344262297,-0.06273442226255296,-0.10815891126912547,0.17562305991094185,0.28378197118007,0.2837819711800763,0.16900622759640743,1.6791213863299594,0.09312838899589357,-0.04746414807186167,0.6150280904320142,0.02204388470495766
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,oxygen,mg/l,Besigheim,Lauffen,cut_moratorium,"Schnitt 14.03.2011 (Moratorium, Netzabgang)",2011-03-14,2141,343,1798,2010-03-11,2016-08-05,9.496209912536443,9.872469410456063,9.015743440233237,9.812402669632924,-0.4804664723032071,-0.060066740823136816,0.37625949791961943,0.7966592293996868,0.42039973148007026,0.4227520219147166,0.14287771155753715,2.958838137216899,0.0030880125218202686,0.14271685306844156,0.7027871907609917,0.09793340556103791
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,oxygen,mg/l,Besigheim,Lauffen,donut_transition,Übergangsmonate 14.03.–05.08.2011 entfernt,2011-08-06,1996,343,1653,2010-03-11,2016-08-05,9.496209912536443,9.787537810042348,9.015743440233237,9.724803387779794,-0.4804664723032071,-0.06273442226255296,0.29132789750590504,0.7090599475465567,0.41773205004065417,0.4156127672699815,0.13926582636289128,2.9843126495871317,0.002842161951072641,0.1426567633215058,0.6885687712184572,0.10202261766377074
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,oxygen,mg/l,Besigheim,Lauffen,donut_1y,±1 Jahr um den Schnitt entfernt,2011-08-06,1517,143,1374,2010-03-11,2016-08-05,8.53916083916084,10.08296943231441,7.821678321678322,9.880422125181951,-0.7174825174825178,-0.20254730713245994,1.543808593153571,2.0587438035036296,0.5149352103500578,0.4637796883611528,0.19585960790019663,2.367919007565251,0.017888451421335612,0.07990191085063075,0.8476574658716749,0.12181878429999726
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,oxygen,mg/l,Besigheim,Lauffen,placebo_cut_2008,"Nur Vorperiode, Scheinschnitt 06.08.2008",2008-08-06,343,0,343,2010-03-11,2011-03-13,,9.496209912536443,,9.015743440233237,,-0.4804664723032071,,,,,,,,,,
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,oxygen,mg/l,Besigheim,Lauffen,summer,"nur Juni–September (Niedrigwasser, größte thermische Last)",2011-08-06,731,188,543,2010-06-01,2016-08-05,7.034042553191489,8.02744014732965,6.943617021276595,8.05340699815838,-0.09042553191489362,0.02596685082872922,0.9933975941381599,1.1097899768817845,0.11639238274362285,0.08507096553256628,0.3286827726125383,0.25882392574572394,0.7957710966621911,-0.5591354311267768,0.7292773621919094,0.009574547647303588
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,oxygen,mg/l,Besigheim,Lauffen,winter,nur Oktober–Mai,2011-08-06,1410,300,1110,2010-03-11,2016-05-31,11.689,10.64855855855856,11.181999999999999,10.542432432432431,-0.5070000000000001,-0.10612612612612618,-1.0404414414414394,-0.6395675675675676,0.40087387387387396,0.3854819176805877,0.11307888540037199,3.4089646030356042,0.0006520994034262769,0.16385137488392648,0.6071124604772489,0.17747684005972164
B1,Neckarwestheim 1 — Besigheim → Lauffen (Nahfeld),treatment,Neckar,Neckarwestheim 1,o2_saturation,%,Besigheim,Lauffen,baseline,"Schnitt 06.08.2011, Monats-FE, HAC(30)",2011-08-06,2135,482,1653,2010-03-17,2016-08-05,93.86493325595052,90.71048615147362,91.70671437062221,90.41654735684551,-2.158218885328316,-0.29393879462811145,-3.154447104476901,-1.2901670137766956,1.8642800907002046,1.694560865453405,1.6360097140698044,1.0357889998329817,0.30030059055347746,-1.5119592524810836,4.901080983387894,0.05250022002447097
