case,outcome,rel_year,coef,se,ci_lo,ci_hi,gap_mean,n,reference
B2,temperature,1,-0.053698630136984116,0.11317774255979388,-0.2755229294057262,0.16812566913175794,0.31178082191780815,365,False
B2,temperature,2,0.014811937007116475,0.13073938834638238,-0.24143255551258863,0.2710564295268216,0.3785123966942149,363,False
B2,temperature,3,0.08611618987234422,0.12407348075190405,-0.15706336383791136,0.3292957435825998,0.4568047337278106,338,False
B2,temperature,4,-0.14402535589108997,0.11329806707889163,-0.3660854868837208,0.0780347751015408,0.21988950276243105,362,False
B2,oxygen,-5,0.2804690874772552,0.6355412830656048,-0.9651689380197058,1.5261071129742163,0.7144508670520231,346,False
B2,oxygen,-4,0.5414152435196627,0.6367583402699625,-0.7066081702649644,1.7894386573042897,1.0308771929824563,285,False
B2,oxygen,-3,0.4840564841397716,0.6236001663889702,-0.7381773827357951,1.7062903510153384,0.9298050139275766,359,False
B2,oxygen,-2,0.5935290814476293,0.6290322349651807,-0.6393514441988617,1.8264096070941203,1.035933147632312,359,False
B2,oxygen,-1,0.0,0.0,0.0,0.0,0.45555555555555555,351,True
B2,oxygen,0,1.4620937103660825,0.6746541331056677,0.13979590745788206,2.784391513274283,1.9096685082872926,362,False
B2,oxygen,1,0.6297264101105281,0.6259474469826221,-0.5971080421902061,1.8565608624112624,1.068804664723032,343,False
B2,oxygen,2,0.46509407587581425,0.6487827293937468,-0.8064967075275256,1.736684859279154,0.9127118644067795,354,False
B2,oxygen,3,-0.20287632518680976,0.6538608841042038,-1.4844201089305675,1.078667458556948,0.2289230769230769,325,False
B2,oxygen,4,-0.3557298597917516,0.6934113519989696,-1.714791136180958,1.003331416597455,0.1449180327868853,305,False
B2,o2_saturation,-5,4.672132131633425,6.653028219551647,-8.367563566816443,17.71182783008329,9.621308532342944,346,False
B2,o2_saturation,-4,6.171841683965563,6.640006240484411,-6.842331404505088,19.186014772436213,11.934153013161254,285,False
B2,o2_saturation,-3,5.377073247221543,6.480971876364503,-7.32539821526986,18.079544709712945,10.522876916722526,359,False
B2,o2_saturation,-2,6.202870409254967,6.5585650916867015,-6.651680960712605,19.057421779222537,11.296765051419818,359,False
B2,o2_saturation,-1,0.0,0.0,0.0,0.0,5.277764185477528,351,True
B2,o2_saturation,0,13.69483360444122,6.994114692314983,-0.013379296238587912,27.403046505121026,18.84435686968921,362,False
B2,o2_saturation,1,6.119439463027739,6.5406113645713635,-6.699923248405511,18.93880217446099,11.127775412665839,343,False
B2,o2_saturation,2,4.2433800438762805,6.767250141557552,-9.020186507950104,17.506946595702665,9.39258479053396,354,False
B2,o2_saturation,3,-2.2792441131551375,6.980434082952453,-15.960643512197825,11.40215528588755,2.8323018234131934,314,False
B2,o2_saturation,4,-4.572031261991342,7.26219541348682,-18.805672721117475,9.661610197134792,1.3054508125662614,305,False
C1,temperature,-5,1.1798144876823333,0.2170770393312092,0.7543513087225785,1.6052776666420883,0.589196675900277,361,False
C1,temperature,-4,0.6556364307676753,0.1909537645656371,0.2813739295066858,1.0298989320286647,0.1430034129692833,293,False
C1,temperature,-3,0.14857468773510127,0.22898667401433526,-0.3002309462726097,0.5973803217428123,-0.4265927977839335,361,False
