observation_id,plant,outcome,window_years,did_coefficient,std_error,p_value,ci_lower,ci_upper,t_stat,n_observations,r_squared
3,Philippsburg 1,oxygen,7,-0.0375252525252647,0.14034725050615401,0.7894372646422808,-0.3141579809017955,0.2391074758512661,-0.2673743332336908,230.0,0.8720738006948958
4,Gundremmingen B,temperature,5,0.1017474602842891,0.29012758472246875,0.7261106714684838,-0.46966951414606234,0.6731644347146406,0.35069902223057847,264.0,0.9572582565096491
4,Gundremmingen B,temperature,3,0.18127930003228787,0.3540634575337007,0.609391595959215,-0.5182050375685635,0.8807636376331393,0.5119966383851776,168.0,0.9606338485437053
4,Gundremmingen B,temperature,4,0.1496004290817416,0.32071755936907226,0.6413947315334435,-0.4828021628475318,0.7820030210110149,0.4664553739310103,216.0,0.9565327253420938
4,Gundremmingen B,temperature,5,0.1017474602842891,0.29012758472246875,0.7261106714684838,-0.46966951414606234,0.6731644347146406,0.35069902223057847,264.0,0.9572582565096491
4,Gundremmingen B,temperature,6,0.10619223431363478,0.2689319779836268,0.6932248228346447,-0.423061467804982,0.6354459364322516,0.39486652018786705,312.0,0.9560729827272813
4,Gundremmingen B,temperature,7,0.12196914664377623,0.25380808424591733,0.6311362568521488,-0.37723681404178966,0.6211751073293421,0.48055658670666707,360.0,0.9540063720379678
5,Philippsburg 2,temperature,5,-0.34565343378732283,0.3527232531178866,0.3281068752040968,-1.0405267114572085,0.3492198438825629,-0.9799564693621123,252.0,0.9509658755610991
5,Philippsburg 2,temperature,3,-0.33043831168831794,0.4471298852785387,0.4610889566499745,-1.2141724491860453,0.5532958258094094,-0.7390208585196045,160.0,0.9536641963230136
5,Philippsburg 2,temperature,4,-0.42375961254070993,0.383526318098566,0.2706059529118225,-1.1803017403271552,0.33278251524573543,-1.1049036077670267,204.0,0.9560500918110602
5,Philippsburg 2,temperature,5,-0.34565343378732283,0.3527232531178866,0.3281068752040968,-1.0405267114572085,0.3492198438825629,-0.9799564693621123,252.0,0.9509658755610991
5,Philippsburg 2,temperature,6,-0.37718287314924304,0.3346849701842946,0.26078647987013376,-1.0362092821553626,0.2818435358568765,-1.1269788211330403,276.0,0.9509114998725667
5,Philippsburg 2,temperature,7,-0.37718287314924304,0.3346849701842946,0.26078647987013376,-1.0362092821553626,0.2818435358568765,-1.1269788211330403,276.0,0.9509114998725667
5,Philippsburg 2,oxygen,5,0.026107024695742165,0.1430603372766094,0.8553720789435276,-0.255888345586389,0.30810239497787334,0.18248960678223358,228.0,0.8841442504887002
5,Philippsburg 2,oxygen,3,-0.06640625000000105,0.1795522469157241,0.7120872756934913,-0.4215536392935824,0.2887411392935803,-0.3698436034118245,148.0,0.8876758989577548
