plant,company,city,state,energy_source,technology,chp,capacity_net_bnetza,commissioned_year,shutdown_year,status,is_nuclear,latitude,longitude,river,river_km,offset_m
Gemeinschaftskernkraftwerk Neckarwestheim II (GKN II),EnBW Energie Baden-Württemberg AG,Neckarwestheim,Baden-Württemberg,Nuclear,Steam turbine,no,1310.0,1989.0,,operating,True,49.041,9.175,Neckar,124.501,542.822
Heizkraftwerk Heilbronn (HLB 5),EnBW Energie Baden-Württemberg AG,Heilbronn,Baden-Württemberg,Hard coal,Steam turbine,no,125.0,1965.0,,operating,False,49.177,9.206,Neckar,105.191,298.722
Heizkraftwerk Heilbronn (HLB 6),EnBW Energie Baden-Württemberg AG,Heilbronn,Baden-Württemberg,Hard coal,Steam turbine,no,125.0,1966.0,,operating,False,49.177,9.206,Neckar,105.191,298.722
Heizkraftwerk Heilbronn (HLB 7),EnBW Energie Baden-Württemberg AG,Heilbronn,Baden-Württemberg,Hard coal,Steam turbine,yes,778.0,1985.0,,operating,False,49.177,9.206,Neckar,105.191,298.722
Rheinhafen-Dampfkraftwerk (RDK 7),EnBW Energie Baden-Württemberg AG,Karlsruhe,Baden-Württemberg,Hard coal,Steam turbine,yes,517.0,1985.0,,operating,False,49.012,8.303,Rhine,595.216,355.493
Rheinhafen-Dampfkraftwerk (RDK 8),EnBW Energie Baden-Württemberg AG,Karlsruhe,Baden-Württemberg,Hard coal,Steam turbine,yes,834.0,2014.0,,operating,False,49.012,8.303,Rhine,595.216,355.493
Rheinhafen-Dampfkraftwerk (RDK 4S),EnBW Energie Baden-Württemberg AG,Karlsruhe,Baden-Württemberg,Natural gas,Combined cycle,no,353.0,1998.0,,operating,False,49.012,8.303,Rhine,595.216,355.493
Stora Enso Maxau,Stora Enso Maxau GmbH,Karlsruhe,Baden-Württemberg,Biomass and biogas,Steam turbine,yes,78.0,2010.0,,operating,False,49.039,8.311,Rhine,592.023,373.344
HKW Wörth,Palm Power GmbH & Co. KG,Wörth,Rheinland-Pfalz,Natural gas,Steam turbine,yes,59.0,2007.0,,operating,False,49.07,8.307,Rhine,589.017,1298.457
Kernkraftwerk Philippsburg 2 (KKP 2),EnBW Energie Baden-Württemberg AG,Philippsburg,Baden-Württemberg,Nuclear,Steam turbine,no,1402.0,1985.0,2019.0,shutdown,True,49.253,8.435,Rhine,563.755,496.615
GKM (Block 3),Grosskraftwerk Mannheim AG,Mannheim,Baden-Württemberg,Hard coal,Steam turbine,yes,202.5,1966.0,2015.0,shutdown,False,49.446,8.49,Rhine,536.029,215.988
GKM (Block 4),Grosskraftwerk Mannheim AG,Mannheim,Baden-Württemberg,Hard coal,Steam turbine,yes,202.5,1970.0,2015.0,shutdown,False,49.446,8.49,Rhine,536.029,215.988
GKM (Block 6),Grosskraftwerk Mannheim AG,Mannheim,Baden-Württemberg,Hard coal,Steam turbine,yes,255.0,2005.0,,operating,False,49.446,8.49,Rhine,536.029,215.988
GKM (Block 7),Grosskraftwerk Mannheim AG,Mannheim,Baden-Württemberg,Hard coal,Steam turbine,yes,425.0,1982.0,,operating,False,49.446,8.49,Rhine,536.029,215.988
GKM (Block 8),Grosskraftwerk Mannheim AG,Mannheim,Baden-Württemberg,Hard coal,Steam turbine,yes,435.0,1993.0,,operating,False,49.446,8.49,Rhine,536.029,215.988
GKM (Block 9),Grosskraftwerk Mannheim AG,Mannheim,Baden-Württemberg,Hard coal,Steam turbine,yes,843.0,2015.0,,operating,False,49.446,8.49,Rhine,536.029,215.988
"Kraftwerk Mitte (GUD A 800  GT 11, GT 12, DT 10)",BASF SE,Ludwigshafen,Rheinland-Pfalz,Natural gas,Combined cycle,yes,497.5,2005.0,,operating,False,49.514,8.432,Rhine,523.694,295.131
"Kraftwerk Süd (GUD C 200 GT 1, GT 2, DT 1)",BASF SE,Ludwigshafen,Rheinland-Pfalz,Natural gas,Combined cycle,yes,410.0,1997.0,,operating,False,49.514,8.432,Rhine,523.694,296.233
Kraftwerk Mainz (KW2),Kraftwerke Mainz-Wiesbaden AG,Mainz,Rheinland-Pfalz,Natural gas,Combined cycle,yes,335.0,1976.0,,operating,False,50.025,8.243,Rhine,449.107,414.293
Kraftwerk Mainz (KW3),Kraftwerke Mainz-Wiesbaden AG,Mainz,Rheinland-Pfalz,Natural gas,Combined cycle,yes,434.2,2000.0,,operating,False,50.026,8.238,Rhine,448.799,640.651
Heizkraftwerk Karlstraße (Heizkraftwerk Karlstraße),Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,Bonn,Nordrhein-Westfalen,Natural gas,Steam turbine,yes,95.0,2013.0,,operating,False,50.734,7.081,Rhine,289.255,2115.599
Kraftwerk (D210),Basell Polyolefine GmbH,Wesseling,Nordrhein-Westfalen,Oil,Steam turbine,yes,90.0,1962.0,,operating,False,50.831,6.959,Rhine,272.57,1635.645
Shell Deutschland Oil GmbH,Shell Deutschland Oil GmbH,Köln,Nordrhein-Westfalen,Oil,Combined cycle,yes,97.1,2004.0,,operating,False,50.855,6.981,Rhine,271.01,978.105
HKW Niehl 2 (GuD),RheinEnergie AG,Köln,Nordrhein-Westfalen,Natural gas,Combined cycle,yes,413.0,2005.0,,operating,False,50.975,6.988,Rhine,248.951,264.198
Niehl 3 (Niehl 31),RheinEnergie AG,Köln,Nordrhein-Westfalen,Natural gas,Steam turbine,yes,459.9,2016.0,,operating,False,50.975,6.988,Rhine,248.951,274.639
HKW Merkenich (Block 6),RheinEnergie AG,Köln,Nordrhein-Westfalen,Lignite,Steam turbine,yes,75.3,2010.0,,operating,False,51.018,6.964,Rhine,243.537,601.04
HKW Merkenich (GuD),RheinEnergie AG,Köln,Nordrhein-Westfalen,Natural gas,Combined cycle,yes,108.0,2004.0,,operating,False,51.018,6.964,Rhine,243.537,601.04
Dormagen (GuD),RWE Generation SE,Dormagen,Nordrhein-Westfalen,Natural gas,Combined cycle,yes,586.0,2000.0,,operating,False,51.079,6.829,Rhine,231.209,1944.719
Holthausen,Henkel AG & Co. KGaA,Düsseldorf,Nordrhein-Westfalen,Natural gas,Steam turbine,yes,84.0,1948.0,,operating,False,51.176,6.838,Rhine,219.536,1694.483
GuD (AGuD),Stadtwerke Düsseldorf AG,Düsseldorf,Nordrhein-Westfalen,Natural gas,Combined cycle,yes,100.0,2000.0,,operating,False,51.221,6.731,Rhine,203.09,405.638
Gasblock (Block E),Stadtwerke Düsseldorf AG,Düsseldorf,Nordrhein-Westfalen,Natural gas,Steam turbine,yes,293.0,1977.0,2019.0,shutdown,False,51.221,6.731,Rhine,203.09,405.638
GuD (GuD F),Stadtwerke Düsseldorf AG,Düsseldorf,Nordrhein-Westfalen,Natural gas,Combined cycle,yes,595.0,2016.0,,operating,False,51.224,6.735,Rhine,201.507,345.827
G-Kraftwerk,Currenta GmbH & Co. OHG,Leverkusen,Nordrhein-Westfalen,Hard coal,Steam turbine,yes,103.0,1962.0,,operating,False,51.369,6.654,Rhine,176.546,648.654
Kraftwerk N 230,Currenta GmbH & Co. OHG,Krefeld-Uerdingen,Nordrhein-Westfalen,Hard coal,Steam turbine,yes,110.0,1971.0,,operating,False,51.37,6.662,Rhine,175.877,490.551
Huckingen (A),Hüttenwerke Krupp Mannesmann GmbH,Duisburg-Huckingen,Nordrhein-Westfalen,Other fuels,Combined cycle,yes,303.0,1976.0,,operating,False,51.368,6.717,Rhine,172.261,580.442
Huckingen (B),Hüttenwerke Krupp Mannesmann GmbH,Duisburg-Huckingen,Nordrhein-Westfalen,Other fuels,Combined cycle,yes,303.0,1977.0,,operating,False,51.368,6.717,Rhine,172.261,580.442
