outcome,site,river,event_year,spec,sample,unit,upstream_station,upstream_km,downstream_station,downstream_km,up_pre,up_post,down_pre,down_post,gap_pre,gap_post,did,std_error,min_detectable_effect,ci_low,ci_high,p_value,pooled_did,pooled_p_value,n_pre,n_post
dissolved_oxygen,Grafenrheinfeld,Main,2015,donut,donut_drop_1y_each_side,mg/l,"SH Schweinfurt, km 332,0, OW",7.3,Erlabrunn KW-OW,88.0,10.0981,9.7528,10.2074,10.1542,0.1093,0.4014,0.2921,0.2343,0.6565,-0.1671,0.7513,0.2124,0.2921,0.0,36,36
dissolved_oxygen,Grafenrheinfeld,Main,2015,season_split,summer_jun_sep,mg/l,"SH Schweinfurt, km 332,0, OW",7.3,Erlabrunn KW-OW,88.0,8.0431,7.2042,8.2444,8.05,0.2014,0.8458,0.6444,0.3009,0.8431,0.0547,1.2342,0.0322,0.6444,0.0,12,12
dissolved_oxygen,Grafenrheinfeld,Main,2015,season_split,winter_oct_may,mg/l,"SH Schweinfurt, km 332,0, OW",7.3,Erlabrunn KW-OW,88.0,11.0236,11.0042,11.1354,11.125,0.1118,0.1208,0.009,0.2848,0.798,-0.5491,0.5672,0.9747,0.009,0.0,24,24
dissolved_oxygen,Grafenrheinfeld,Main,2015,placebo,placebo_2012,mg/l,"SH Schweinfurt, km 332,0, OW",7.3,Erlabrunn KW-OW,88.0,9.9468,9.9014,10.0889,10.0812,0.1421,0.1799,0.0377,0.2453,0.6873,-0.443,0.5185,0.8777,0.0377,0.0,36,24
dissolved_oxygen,Grafenrheinfeld,Main,2015,distance_sensitivity,all_year,mg/l,"SH Schweinfurt, km 332,0, OW",7.3,Messstation Erlabrunn,88.1,10.0301,9.7375,10.1067,9.8729,0.0767,0.1354,0.0588,0.2569,0.7198,-0.4447,0.5623,0.819,0.0588,0.0,36,36
dissolved_oxygen,Grafenrheinfeld,Main,2015,best_coverage,all_year,mg/l,"SH Schweinfurt, km 332,0, OW",7.3,Erlabrunn KW-OW,88.0,10.0301,9.7375,10.1718,10.1,0.1417,0.3625,0.2208,0.2346,0.6574,-0.239,0.6807,0.3466,0.2208,0.0,36,36
dissolved_oxygen,Gundremmingen,Danube,2017,nearest_downstream,all_year,mg/l,"Böfinger Halde, KW-UW",33.5,Dillingen Meßstation,13.7,10.2042,10.2278,11.0271,11.0847,0.8229,0.8569,0.034,0.2368,0.6635,-0.4301,0.4981,0.8857,0.034,0.0,24,36
dissolved_oxygen,Gundremmingen,Danube,2017,donut,donut_drop_1y_each_side,mg/l,"Böfinger Halde, KW-UW",33.5,Dillingen Meßstation,13.7,10.2903,10.1871,10.9792,10.7943,0.6889,0.6071,-0.0873,0.1752,0.491,-0.4308,0.2562,0.6183,-0.0817,0.0,24,35
dissolved_oxygen,Gundremmingen,Danube,2017,season_split,winter_oct_may,mg/l,"Böfinger Halde, KW-UW",33.5,Dillingen Meßstation,13.7,10.9438,11.0,11.5125,11.5708,0.5688,0.5708,0.0021,0.2662,0.7459,-0.5196,0.5238,0.9938,0.0021,0.0,16,24
dissolved_oxygen,Gundremmingen,Danube,2017,placebo,placebo_2014,mg/l,"Böfinger Halde, KW-UW",33.5,Dillingen Meßstation,13.7,10.5963,10.2042,11.0764,11.0271,0.4801,0.8229,0.3428,0.1641,0.4599,0.0211,0.6645,0.0367,0.3428,0.0,36,24
dissolved_oxygen,Gundremmingen,Danube,2017,distance_sensitivity,all_year,mg/l,"Böfinger Halde, KW-UW",33.5,Schäfstall Pegel,50.3,10.2042,10.2278,10.9479,10.3833,0.7437,0.1556,-0.5882,0.1973,0.5527,-0.9748,-0.2016,0.0029,-0.5882,0.0,24,36
dissolved_oxygen,Gundremmingen,Danube,2017,distance_sensitivity,all_year,mg/l,"Böfinger Halde, KW-UW",33.5,BITTENBRUNN KW-OW,76.2,10.2042,10.2278,10.6604,10.3903,0.4562,0.1625,-0.2937,0.2001,0.5608,-0.686,0.0985,0.1422,-0.2937,0.0,24,36
dissolved_oxygen,Gundremmingen,Danube,2017,distance_sensitivity,all_year,mg/l,"Böfinger Halde, KW-UW",33.5,Messstation Ingolstadt Luitpoldstraße,100.2,10.2042,10.2278,10.8977,10.503,0.6935,0.2753,-0.4182,0.1419,0.3976,-0.6964,-0.1401,0.0032,-0.4182,0.0,24,36
dissolved_oxygen,Gundremmingen,Danube,2017,best_coverage,all_year,mg/l,"Böfinger Halde, KW-UW",33.5,Dillingen Meßstation,13.7,10.2042,10.2278,11.0271,11.0847,0.8229,0.8569,0.034,0.2368,0.6635,-0.4301,0.4981,0.8857,0.034,0.0,24,36
